Unit Number,Responsible Trade,Defect
Unit 20,Cabinet maker,Bed 3 and 4 edge tape needs fixing
Unit 18,Cabinet maker,Edge tape needs fixiong bed 3
Unit 17,Cabinet maker,Fix chips on curved kitchen piece
Unit 13,Cabinet maker,Back kitchen panel needs replacing - too much damage (wait for delivery from China)
Unit 13,Cabinet maker,Chips on kitchen corner unit (waiting on replacement from China)
Unit 13,Cabinet maker,Bed 3 wadrobe doors to be installed (waiting on track delivery from China)
Unit 12,Cabinet maker,Fix pantry shelf
Unit 12,Cabinet maker,Draw front missing in kitchen (waiting on delivery from China)
Unit 12,Cabinet maker,Bed 4 edge tape needs fixing
Unit 1,Cabinet maker,Fix chip on left cupboard in corner above cooktop with wax
Unit 1,Cabinet maker,Bed 4 edge tape needs fixing
Unit 3,Cabinet maker,Bed 4 edge tape needs fixing
Unit 4,Cabinet maker,Bed 2 edge tape needs fixing
Unit 4,Cabinet maker,Bed 4 wadrobe door wheels need replacing
Unit 4,Cabinet maker,Pantry shelf is missing
Unit 8,Cabinet maker,Rangehood cupboard needs securing
Unit 15,Cabinet maker,level right door on ensuite vanity
Unit 14,Cabinet maker,Remove bracket so dishwasher can get pushed in
Unit 15,Cabinet maker,Panel above fridge needs fixing (waiting on China delivery)
Unit 3,Cabinet maker,Fix kitchen counter
Units 21-25,Carpenter,Install doorstops in unit
Unit 21-25,Carpenter,"Check front door locks are functional, there was one that was not working properly"
Unit 21,Carpenter,Swop front door locks with unit 25
Unit 15,Carpenter,Install skirting behind fridge
Unit  20,Carpenter,Powder room hardware missing
Gatehouse,Carpenter,Fix missing facia end cap
Check units,Carpenter,Install skirting pantries and storeroom
Check units,Carpenter,Install quarteround around enterance
All,Carpenter,Install half moon doorstops on all units
All,Carpenter,Check all gliders for cavity sliding doors
All,Carpenter,Install half moon doorstops infront of wadrobe door
Unit 25,Carpenter,Swop front door locks with unit 21
Unit 24,Carpenter,Fix frame on the back of wall
Unit 24,Carpenter,Fix architraves in pantry
Unit 23,Carpenter,Bed 3 door catching
Unit 23,Carpenter,Upstairs doors are scraping
Unit 23,Carpenter,Cavity door to garage is scraping
Unit 22,Carpenter,Fix architraves in pantry
Unit 20,Carpenter,Guide to pantry missing
Unit 20,Carpenter,Missing skirting in garage
Unit 20,Carpenter,Pantry door needs guides
Unit 19,Carpenter,Doors scraping on carpets
Unit 19,Carpenter,Door scraping bedroom 3
Unit 18,Carpenter,Bed 3 qand 4 scraping
Unit 18,Carpenter,Front door not working
Unit 14,Carpenter,Fix cladding outside that was patched.
Unit 13,Carpenter,Skirting around back of kitchen
Unit 13,Carpenter,Skirting next to pantry area
Unit 12,Carpenter,Install all doors
Unit 12,Carpenter,Upstairs door missing
Unit 11,Carpenter,Install skirting in coat room
Unit 11,Carpenter,Ensuite door cavity doesn’t lock
Unit 10,Carpenter,Pantry door loose may need glides
Unit 10,Carpenter,Missing guides on cacity sliding door
Unit 9,Carpenter,Upstairs bathroom door doesn't close
Unit 9,Carpenter,Door handle bed 3 not centre
Unit 8,Carpenter,Main bedroom handle is faulty
Unit 7,Carpenter,Ensuite cavity slider doesn't lock
Unit 6,Carpenter,En suite cavity slider too low
Unit 6,Carpenter,Cavity door to garage loos needs glides
Unit 6,Carpenter,Upstairs sliding cavity does not work good
Unit 5,Carpenter,En suite cavity slider doesn't lock
Unit 4,Carpenter,Bedroom door door doesn't close and scrapes on the carpet
Unit 2,Carpenter,En suite cavity slider doesn't lock
Unit 1,Carpenter,Fix toilet roll holder
Unit 1,Carpenter,En suite cavity slider doesn't lock
Unit 1,Carpenter,Door handle to be installed to door under stairs
Unit 1,Carpenter,Bedroom 3 missing skrting
Unit 18,Carpenter,Front door latch is broken
Unit 8,Carpenter,Door handles the wrong way around
Unit 7,Carpenter,Bedroom 3 door handles the wrong way around
Unit 13,Carpenter,Missing front door stopper catcher
Unit 3,Carpenter,Skirting missing in corner between architraves and wadrobes bed 3
Unit 9,Electrician,Shift plugpoint so that cupboard panel can be pulled back to original position
Unit 14,Electrician,Smoke detector not working
Unit 15,Electrician,Rangehood not working
Unit 18,Electrician,Fan is working now but light not turning off
Unit 18,Electrician,Change louvre vents for extractor fan to fixed ones that don't make a noise in the wind
Unit 7,Electrician,Fan light missing
Unit 9,HVAC Technician,Leaking at tundish
Unit 15,HVAC Technician,"Controller giving ""error"" message"
Unit 19,HVAC Technician,"Controller giving ""error"" message"
Unit 19,HVAC Technician,AC not working
unit 14,HVAC Technician,Leaking drain pipe under stairs
Unit 18,HVAC Technician,Split system blowing hot air
Unit 3,HVAC Technician,Ensuite toilet not flushing
Unit 1,Laborer,Jacob to check balcony bracket needs replacing
Unit 6,Laborer,Main bedroom bathroom remove waste
Unit 6,Laborer,Cover plate missing under stairs
Unit 7,Laborer,Fan missing light cover
Unit 7,Laborer,Cover plate laundry missing
Unit 8,Laborer,Bin inserts need to be installed in bin left of sink
Unit 8,Laborer,Ceiling panel in NPR room needs installation
Unit 8,Laborer,Cut timber so that we can install downlight in laundry
Unit 13,Laborer,Secure the garden edging
Unit 13,Laborer,Install plants
Unit 13,Laborer,Stickers to be installed on kitchen
Unit 14,Laborer,Remove stickers off of joinery
Unit 14,Laborer,Remove stickers off of joinery in the storeroom
Unit 14,Laborer,Stickers on kitchen
Unit 14,Laborer,Walk in wadrobe needs Stickers
Unit 15,Laborer,Stickers on main walk in wadrobe
Unit 17,Laborer,Clean out the door tracks
Unit 17,Laborer,Reinstate the hatch door in the ensuite
Unit 17,Laborer,Clean writing on the windows in bedroom two
Unit 17,Laborer,Clean off the writing on the windows in bedroom three
Unit 18,Laborer,Clean the writing off the sliding door windows
Unit 18,Laborer,Cut trim in the far corner of the garden where the nib is
Unit 18,Laborer,Clean the area underneath the storeroom and stairs
Unit 18,Laborer,Clean the writing off the windows in bedroom three
Unit 18,Laborer,Find and replace missing manhole hatch door in walk in wardrobe
Unit 18,Laborer,Remove stickers from the vanity
Unit 19,Laborer,Touch up sink underneath cupboard with spraypaint
Unit 19,Laborer,Clean writing off windows and clean window tracks in Bedroom 2
Unit 19,Laborer,Remove masking tape around fan cover plate in Bedroom 2
Unit 21,Laborer,Clean stickers off the laundry cupboard
Unit 21,Laborer,Clean the back garden
Unit 21,Laborer,Patch the slab outside next to the aircon
Unit 22,Laborer,Patch the garage floor at the back of the garage with FC
Unit 22,Laborer,Clean fallen leaves in the back garden
Unit 22,Laborer,Clean the retaining wall
Unit 22,Laborer,Remove the protection over the fans in Bedroom 2
Unit 22,Laborer,Install cover plates on light switches and plug points
Unit 22,Laborer,Fix the base cover of fan to ceiling in living room
Unit 23,Laborer,Clean the fencing behind the aircon unit
Unit 23,Laborer,Clean paint marks on the retaining walls
Unit 23,Laborer,Remove the sticker on the laundry door
Unit 23,Laborer,Remove masking tape off of the base of the fan in bedroom three
Unit 23,Laborer,Remove masking tape off the fan base in bedroom four
Unit 23,Laborer,Remove stickers on the drawers in the wardrobe in bedroom four
Unit 23,Laborer,Fix the base cover of fan to ceiling in main bedroom
Unit 24,Laborer,Clean paint off the retaining wall in the garden
Unit 24,Laborer,Clean the tracks of the sliding doors
Unit 24,Laborer,Remove stickers on all joinery in the ensuite bathroom
Unit 24,Laborer,Remove protection over the fan in bedroom two
Unit 24,Laborer,Remove protection of the fan in bedroom four
Unit 25,Laborer,Remove grass in the flower bed and install mulching
Unit 25,Laborer,Clean paint off of the garage window in writing
Unit 25,Laborer,Level the aircon unit in the garden and install mulch
Unit 25,Laborer,Clean the retaining walls
All,Laborer,Remove paint off retaining walls
All,Laborer,Lfix plug and light covers
All,Laborer,Clean paint off garages
Bin pad,Laborer,Fix covers for base plates of posts
Garden,Laborer,Install stakes
Garden,Laborer,Set aircons level and neat
Unit 8,Laborer,Jacob to fix aircon trunking
Unit 18,Laborer,Jacob to fix aircon trunking
Unit 23,Laborer,Jacob to fix hinge at laundry door
Unit 25,Laborer,Jacob to fix inside fridge panel at unit 25
Unit 6,Laborer,Bedroom 3 glass mirror needs glue
Unit 8,Laborer,Davide to replace cracked concrete slab for Aircon
Unit 9,Laborer,"Jacob to shift laundry side panel so that it is agfainst tiles, remove grout in order to do so"
All units,Laborer,Touch up all surfmist spray paint on aluminium
Unit 1,Laborer,Switch covers to be replaced
Outside,Laborer,Repaint damaged surfmist rainheads
All,Laborer,Touch up rainheads with surfmist
Driveway,Laborer,Render and clean stormwater pits
Driveway,Laborer,Clean water meter lids
Garden,Laborer,Clean landscaped areas of weeds and rubbish
Driveway,Laborer,Clean landscaped areas of painted rocks and refresh with new rocks
Driveway,Laborer,Clean electrical pits
Unit 1,Plasterer,"Holes to be patched in bedroom 3, back of wadrobe to be painted"
Unit 2,Plasterer,Plaster behind door frame under stairs
Unit 3,Plasterer,Patch hole under stairs
Unit 12,Plasterer,Needs manhole door
Unit 16,Plasterer,Fix sheet join in stairway?
Unit 18,Plasterer,Patch around aircon pipe through wall?
Unit 3?,Plasterer,Patch around the light in powder room
Unit 1,Plasterer,Manhole door to ceiling missing
Unit 12,Plasterer,Manhole door to ceiling missing
Unit 2,Plasterer,Manhole door to ceiling missing
Unit 3,Plasterer,Manhole door to ceiling missing
Unit 4,Plasterer,Manhole door to ceiling missing
Unit 15,Plasterer,Manhole door to ceiling missing
Unit 5,Plasterer,Manhole door to ceiling missing
Unit 6,Plasterer,Manhole door to ceiling missing
Unit 5,Plasterer,Plaster underneath wall hung basin in powder room
Unit 1,Plumber,Adjust legs to baths so they are fixed
Unit 1,Plumber,Check laundry (leaking )
Unit 1,Plumber,Leak under sink in kitchen
Unit 2,Plumber,Adjust legs to baths so they are fixed
Unit 3,Plumber,Upstairs bathroom showers knobs missing (take from units 21 or 25)
Unit 3,Plumber,Adjust legs to baths so they are fixed
Unit 6,Plumber,No hot water
Unit 6,Plumber,Shower knob needs to be fixed
Unit 6,Plumber,"Has a leak, check plumbing and roof flanges"
Unit 8,Plumber,Toilet downstairs doesn't flush
Unit 8,Plumber,Overflow missing tundish
Unit 11,Plumber,Low pressure water downstairs
Unit 11,Plumber,Check sink (leaking)
Unit 12,Plumber,Bathroom downstairs has low pressure cold water
Unit 12,Plumber,Bathroom upstairs tap losing water
Unit 14,Plumber,Ensure all baths are level so they can be siliconed
Unit 16,Plumber,Ensure all baths are level so they can be siliconed
Unit 17,Plumber,Ensure all baths are level so they can be siliconed
Unit 17,Plumber,"Has a leak, check plumbing and roof flanges"
Unit 17,Plumber,"Plumbers to refix flange for vent pipe, there is a leak in this unit"
Unit 19,Plumber,Remove silicone from manhole
Unit 19,Plumber,Ensure all baths are level so they can be siliconed
Unit 19,Plumber,Bath is rocking
Unit 20,Plumber,Bath is rocking
Unit 21,Plumber,Install flange plates underneath the basin in the powder room
Unit 21,Plumber,Sika powder room basin to wall
Unit 22,Plumber,Silicone the basin in the powder room
Unit 22,Plumber,Install flange plates underneath the basin in the powder room
Unit 22,Plumber,Cold water doesn't work kitchen
Unit 22,Plumber,Cold water doesn't work shower
Unit 23,Plumber,Install flange plates underneath the basin in the powder room
Unit 25,Plumber,Cold water doesn't work kitchen
Unit 25,Plumber,Bathroom sink plug doeesn't work
Unit 25,Plumber,Fix toilet seat
All,Plumber,Ensure all baths are level so they can be siliconed
All,Plumber,Fix missing mixers at units 21 and 25 and 1 and 11
Unit 4,Plumber,Fix water leak mixer
Unit 4,Stonemason,Patch crack in marble bench top
Unit 22,Stonemason,Repair chip on the vanity in the upstairs bathroom
Unit 1,Tiler,Tile in laundry nook to be siliconed
Unit 1,Tiler,Silicone between tiles and benchtop to be done in laundry
Unit 1,Tiler,Silicone to be done between benchtop and tiles in kitchen
Unit 1,Tiler,Tiler to clean tiles in kitchen area
Unit 1,Tiler,Main bathroom bath to be siliconed
Unit 1,Tiler,Transition between tiles and ceiling to be siliconed
Unit 1,Tiler,Transition between different tiles to be siliconed
Unit 1,Tiler,Main bathroom benchtop to be siliconed
Unit 1,Tiler,Ensuite silicone to be applied between ceiling and walls
Unit 1,Tiler,Ensuite silicone to be applied between benchtop and tiles
Unit 1,Tiler,Ensuite silicone to be applied between different tiles
Unit 2,Tiler,Silicone tile floor in laundry nook
Unit 2,Tiler,Silicone tiles in laundry nook
Unit 2,Tiler,Silicone back of toilet in main bath
Unit 2,Tiler,Silicone transition between tiles and between ceiling and tiles in main bath
Unit 2,Tiler,Silicone bath
Unit 3,Tiler,Complete siliconing between tiles and bench tops
Unit 3,Tiler,Silicone between walls and tiles
Unit 3,Tiler,Silicone laundry nook floor
Unit 3,Tiler,Silicone transition between tiles and laundry bench top
Unit 3,Tiler,Silicone between tiles and ceiling in main bathroom
Unit 3,Tiler,Silicone transition between tiles in main bathroom
Unit 3,Tiler,Silicone bath
Unit 3,Tiler,Silicone back of toilet to wall
Unit 3,Tiler,Silicone tiles in master ensuite
Unit 3,Tiler,Silicone master ensuite toilet
Unit 4,Tiler,Silicone kitchen benchtops
Unit 4,Tiler,Silicone splashback behind cooktop
Unit 4,Tiler,Silicone between floor tiles and walls in laundry area
Unit 4,Tiler,Silicone laundry benchtop and tiles
Unit 4,Tiler,Silicone around wardrobe
Unit 4,Tiler,Silicone bath
Unit 4,Tiler,Silicone transition between tiles and ceiling in main bathroom
Unit 4,Tiler,Silicone transition between different tiles in main bathroom
Unit 4,Tiler,Silicone transition between tiles and ceiling in ensuite
Unit 4,Tiler,Silicone transition between tiles in ensuite
Unit 4,Tiler,Fix grouting in ensuite
Unit 5,Tiler,Apply silicone between benchtop and tiles
Unit 5,Tiler,Apply silicone around sink and on floor around tiles
Unit 5,Tiler,Apply silicone between tile transitions and between ceiling and tiles in ensuite
Unit 6,Tiler,Silicone between benchtop and tiles in kitchen
Unit 6,Tiler,Laundry cupboard floor to be siliconed
Unit 6,Tiler,Laundry benchtop to be siliconed
Unit 6,Tiler,Main bathroom silicone between tiles and ceiling
Unit 6,Tiler,Silicone bath
Unit 6,Tiler,Silicone corners of tiles in main bathroom
Unit 6,Tiler,Silicone toilet
Unit 6,Tiler,Main bedroom bathroom silicone between ceiling and tiles
Unit 7,Tiler,Siliconing between kitchen tiles and bench tops needed
Unit 7,Tiler,Laundry area needs siliconing
Unit 7,Tiler,Bath needs to be siliconed
Unit 7,Tiler,Silicone needed between ceiling and tiles in upstairs bathroom
Unit 7,Tiler,Silicone needed at back of toilet in upstairs bathroom
Unit 7,Tiler,Tiles above plug in master bathroom need to be regrouted
Unit 7,Tiler,Master bathroom toilet needs to be siliconed
Unit 7,Tiler,Silicone needed between tiles and ceiling in master bathroom
Unit 8,Tiler,Silicone needed around laundry tiles and wall interface
Unit 8,Tiler,Kitchen benchtops need silicone where they meet tiles
Unit 8,Tiler,Upstairs main bathroom silicone needed between tiles and ceiling
Unit 8,Tiler,Side of main bathroom vanity needs silicone
Unit 8,Tiler,Upstairs main bathroom tile to ceiling transitions need silicone
Unit 8,Tiler,Upstairs main bathroom bath needs silicone
Unit 8,Tiler,Master bathroom toilet needs to be siliconed to wall
Unit 8,Tiler,Master bathroom tiles need silicone up to ceiling
Unit 9,Tiler,Laundry benchtop needs silicone
Unit 9,Tiler,Silicone required where laundry tiles meet wall panels
Unit 9,Tiler,Silicone required between main bathroom tiles and ceiling
Unit 9,Tiler,Minor silicone between ensuite ceiling and tiles
Unit 9,Tiler,Sort tiles in entranceway
Unit 9,Tiler,Sort laundry tiles
Unit 10,Tiler,Gapping needed in laundry room [cite: 9]
Unit 10,Tiler,Gapping needed in bathroom where walls meet ceiling [cite: 28
Unit 10,Tiler,Gapping required around door architrave [cite: 30
Unit 11,Tiler,Tile joints between tiles and walls in laundry
Unit 11,Tiler,Gap splashbacks in laundry
Unit 11,Tiler,Tile joints between kitchen splashback and joinery
Unit 11,Tiler,Gap joints between tiles and ceiling in bathrooms
Unit 11,Tiler,Fix tile on patio that was core drilled
Unit 12,Tiler,Gap the joints between the tiles in the laundry room
Unit 13,Tiler,Gap between the tiles and the ceiling in upstairs bathroom
Unit 13,Tiler,Gap between the tiles and the architrave in upstairs bathroom
Unit 14,Tiler,Join bathroom tiles in the downstairs powder room
Unit 14,Tiler,Tile joints between ceiling and tiles in the upstairs bathroom
Unit 14,Tiler,Tile joints between architraves and tiles in the upstairs bathroom
Unit 15,Tiler,Downstairs bathroom need splashback
Unit 16,Tiler,Gap the joint between the ceiling and tiles in the ensuite bathroom
Unit 16,Tiler,Install a new waste in the ensuite bathroom shower (currently missing)
Unit 16,Tiler,Replace/install two missing wastes in the upstairs bathroom
Unit 16,Tiler,Install bathroom wastes
Unit 17,Tiler,Gap the joints between the tiles and the counter in the kitchen
Unit 17,Tiler,Tile the joints in the laundry
Unit 17,Tiler,Tile the joints in the splashback
Unit 17,Tiler,Gap the joint between the ceiling and the wall tiles in the ensuite
Unit 17,Tiler,Join the gap between the architrave and the tiles in the ensuite
Unit 17,Tiler,Joint the gap between the ceiling and the wall tiles in the upstairs bathroom
Unit 17,Tiler,Joint the gap between the architrave and the wall tiles in the upstairs bathroom
Unit 18,Tiler,Tile the joints in the tiles powder room
Unit 18,Tiler,Joint between the splashback tiles in the laundry and the cabinetry
Unit 18,Tiler,Joint the gaps between the tiles and the stone counter
Unit 18,Tiler,Tile the joint between the tiles and the wall/ceiling leaves
Unit 18,Tiler,Gap the joint between the tiles and the architrave ensuite
Unit 18,Tiler,Silicone the joint between the tiles and the architrave in main bedroom
Unit 18,Tiler,Silicone the joint between the tiles and the ceiling in main bedroom
Unit 18,Tiler,Install bathroom wastes
Unit 18,Tiler,Tile patio cracked
Unit 19,Tiler,Silicone joints in laundry area tiles
Unit 19,Tiler,Silicone splashback subway tiles in kitchen
Unit 19,Tiler,Gap joint between ceiling and wall tiles in upstairs bathroom
Unit 19,Tiler,Gap around architrave where tiles meet in upstairs bathroom
Unit 19,Tiler,Tile joints between ceiling/wall tiles and around architraves (Ensuite/WIR area)
Unit 19,Tiler,Broken tile on patio
Unit 20,Tiler,Apply silicone around tiles in laundry and kitchen
Unit 20,Tiler,Gap transition between tiles and ceiling in bathroom
Unit 20,Tiler,Gap transition between tiles and door architraves
Unit 20,Tiler,Apply silicone between ceiling and walls in master bathroom
Unit 21,Tiler,Clean excess silicone on underside of kitchen cabinet
Unit 21,Tiler,Silicone joints in the tiles in the laundry
Unit 21,Tiler,Gap the joints between ceiling/wall tiles and architrave/door frame
Unit 22,Tiler,Join the tiles in between the joinery in the laundry
Unit 22,Tiler,Gap the joint between the ceiling and the tiles in the ensuite
Unit 22,Tiler,Grout the mosaic in the bathroom where there are holes
Unit 22,Tiler,Gap the joints between the tiles and the ceiling in Bedroom 2
Unit 23,Tiler,Tile the joints between the cupboard and the tiles in the laundry
Unit 24,Tiler,Gap joints in the tiles in the laundry
Unit 24,Tiler,Tile joints between the tiles and the ceiling in the ensuite bathroom
Unit 25,Tiler,Fix the subway tile above the plug point in the kitchen
Unit 25,Tiler,Tile the wastes in the ensuite bathroom
Unit 25,Tiler,Tile the joints between the ceiling and tiles in the ensuite bathroom
Unit 25,Tiler,Gap the joint between the architrave and the tiles in the ensuite bathroom
Unit 7,Cabinet maker,Fridge kick too short
Unit 11,Cabinet maker,Kitchen benchtop vertical backboard facing lounge is loose
Unit 25,Cabinet maker,"Re-install  bracket at base of fridge compartment in corner to make presentable, very rough job done -bracket to match top"
Unit 2,Carpenter,Enlarge roof lips so it doesn’t fall through
Unit 19,Electrician,Nosiy vent downstairs
Unit 4,Floorer,Flooring stops short of skirting
Unit 1,HVAC Technician,Ducting not installed over conduit
Unit 5,HVAC Technician,No Cooling downstairs
Unit 6,HVAC Technician,No Cooling downstairs
Unit 7,HVAC Technician,No Cooling upstairs
Unit 18,HVAC Technician,No Cooling downstairs
Unit 19,HVAC Technician,No Cooling upstairs
Unit 15,HVAC Technician,No Cooling upstairs
Unit 1,Laborer,Garage Shelf beading  Jacob
Unit 1,Laborer,"Electrical switch cover plates missing in garage, pantry"
Unit 4,Laborer,Wall corner in upstairs bedroom ripped
Untit 9,Laborer,Pantry Door doesn't open properly
"Units 6, 13, 14 , 17",Laborer,Clean water residue on downstairs floorboards
Unit 9,Laborer,Pantry door - don’t close properly
Unit 22,Laborer,Sliding door unit 22 - don’t close properly
Unit 16,Laborer,Make cabinetry flush with piece of melamine board
"Unit 2,11,12,13,14",Laborer,Behind Sliding Door in Patio David to paint patches finished by Jacob
Unit 3,Plumber,Potential water leak going from toilet onto floor & precipitating out of the grout
Unit 11,Plumber,Kitchen tap low pressure & no shower/faulty
Unit 12,Plumber,"Faulty Kitchen tap, low pressure, not alternating between full flow & shower feature"
Unit 12,Plumber,Toilet leaking
Unit 16,Plumber,Toilet leaking
Unit 21,Plumber,Missing 2x Satin Shower Taps & handles in bathroom with tub
Unit 25,Plumber,Missing Big Rain Shower Head & Wall Flange
Unit 25,Plumber,Missing 2x shower tap handles & 2x wall flanges
Unit 9,Stonemason,Laundry sink chip & machine fault in lip
Unit 3,Stonemason,Broken marble slab split in half on kitchen bench top
Unit 8,Tiler,Master bathroom tiles need silicone up to ceiling of 2nd Bathroom
Unit 8,Tiler,Caulking required all around ceiling in master bedroom
Unit 8,Tiler,Caulking required left & above left panel of oven
Unit 11,Tiler,Tile replace at the entrance (plumber cut the downpipe)
Unit 20,Tiler,Tile replace in patio
Unit 19,Tiler,Tile replace in patio
Unit 19,Tiler,Skirting Tile replace in patio
Unit 1,Langs windows,Crack in the corner of glass window next to aircon unit
Unit 1,Langs windows,D0-02 Door not sliding
Unit 1,Langs windows,W0-02 Window not sliding open easily
Unit 1,Langs windows,W1-02 Not closing and can't lock window
Unit 1,Langs windows,D1-06 Door not locking
Unit 2,Langs windows,D0-03 Door not unlocking
Unit 2,Langs windows,D0-04 Door not locking
Unit 4,Langs windows,D0-03 Door not locking
Unit 9,Langs windows,W1-01 Winder broken/missing piece
Unit 10,Langs windows,W0-01 Window jammed/not sliding
Unit 10,Langs windows,W1-02 Screws need tightning
Unit 11,Langs windows,W0-02 window frame needs to be sprayed
Unit 11,Langs windows,D0-02 Door not locking
Unit 11,Langs windows,D0-03 Door not locking
Unit 13,Langs windows,D0-03 Door not locking
Unit 15,Langs windows,D0-03 Door not locking
Unit 16,Langs windows,D0-03 Door not locking
Unit 17,Langs windows,Damaged sliding window frame
Unit 18,Langs windows,D0-03 Door not locking
Unit 21,Langs windows,D0-03 Door not locking with key
Unit 21,Langs windows,D0-04 Door not locking with key
Unit 23,Langs windows,D0-04 Door not locking with key
Unit 25,Langs windows,D0-03 Door not locking
Unit 25,Langs windows,D0-04 Door not locking
Unit 25,Plumber,Big Rain Shower Hea
